section,trial,zdp,trajectory,correct,answer
RightC_Right,1,ZDP2,3,Back,Front
RightC_Right,2,ZDP2,4,Back,Back
RightC_Right,3,ZDP2,1,Front,Front
RightC_Right,4,ZDP2,2,Front,Front
RightC_Right,5,ZDP2,1,Front,Back
RightC_Right,6,ZDP2,2,Front,Front
RightC_Right,7,ZDP2,3,Back,Back
RightC_Right,8,ZDP2,4,Back,Back
RightC_Right,9,ZDP3,1,Front,Front
RightC_Right,10,ZDP3,4,Back,Back
RightC_Right,11,ZDP3,2,Front,Front
RightC_Right,12,ZDP3,1,Front,Front
RightC_Right,13,ZDP3,4,Back,Back
RightC_Right,14,ZDP3,3,Back,Front
RightC_Right,15,ZDP3,3,Back,Back
RightC_Right,16,ZDP3,2,Front,Front
RightC_Right,17,ZDP1,3,Back,Front
RightC_Right,18,ZDP1,4,Back,Front
RightC_Right,19,ZDP1,2,Front,Front
RightC_Right,20,ZDP1,4,Back,Back
RightC_Right,21,ZDP1,1,Front,Front
RightC_Right,22,ZDP1,3,Back,Front
RightC_Right,23,ZDP1,2,Front,Front
RightC_Right,24,ZDP1,1,Front,Front
LeftC_Right,1,ZDP2,1,Back,Front
LeftC_Right,2,ZDP2,4,Front,Front
LeftC_Right,3,ZDP2,3,Front,Front
LeftC_Right,4,ZDP2,3,Front,Front
LeftC_Right,5,ZDP2,4,Front,Front
LeftC_Right,6,ZDP2,2,Back,Back
LeftC_Right,7,ZDP2,1,Back,Front
LeftC_Right,8,ZDP2,2,Back,Back
LeftC_Right,9,ZDP3,2,Back,Back
LeftC_Right,10,ZDP3,1,Back,Back
LeftC_Right,11,ZDP3,4,Front,Front
LeftC_Right,12,ZDP3,3,Front,Front
LeftC_Right,13,ZDP3,4,Front,Front
LeftC_Right,14,ZDP3,3,Front,Front
LeftC_Right,15,ZDP3,1,Back,Back
LeftC_Right,16,ZDP3,2,Back,Back
LeftC_Right,17,ZDP1,2,Back,Back
LeftC_Right,18,ZDP1,4,Front,Front
LeftC_Right,19,ZDP1,3,Front,Front
LeftC_Right,20,ZDP1,1,Back,Back
LeftC_Right,21,ZDP1,4,Front,Front
LeftC_Right,22,ZDP1,3,Front,Front
LeftC_Right,23,ZDP1,2,Back,Front
LeftC_Right,24,ZDP1,1,Back,Back
RightC_Left,1,ZDP2,3,Back,Front
RightC_Left,2,ZDP2,4,Back,Back
RightC_Left,3,ZDP2,2,Front,Front
RightC_Left,4,ZDP2,2,Front,Front
RightC_Left,5,ZDP2,1,Front,Front
RightC_Left,6,ZDP2,4,Back,Back
RightC_Left,7,ZDP2,3,Back,Back
RightC_Left,8,ZDP2,1,Front,Front
RightC_Left,9,ZDP3,1,Front,Front
RightC_Left,10,ZDP3,4,Back,Back
RightC_Left,11,ZDP3,2,Front,Front
RightC_Left,12,ZDP3,3,Back,Front
RightC_Left,13,ZDP3,2,Front,Front
RightC_Left,14,ZDP3,1,Front,Front
RightC_Left,15,ZDP3,3,Back,Back
RightC_Left,16,ZDP3,4,Back,Back
RightC_Left,17,ZDP1,3,Back,Back
RightC_Left,18,ZDP1,4,Back,Back
RightC_Left,19,ZDP1,1,Front,Front
RightC_Left,20,ZDP1,1,Front,Front
RightC_Left,21,ZDP1,3,Back,Back
RightC_Left,22,ZDP1,2,Front,Front
RightC_Left,23,ZDP1,4,Back,Back
RightC_Left,24,ZDP1,2,Front,Front
LeftC_Left,1,ZDP2,2,Back,Back
LeftC_Left,2,ZDP2,1,Back,Back
LeftC_Left,3,ZDP2,1,Back,Back
LeftC_Left,4,ZDP2,4,Front,Back
LeftC_Left,5,ZDP2,2,Back,Back
LeftC_Left,6,ZDP2,4,Front,Front
LeftC_Left,7,ZDP2,3,Front,Back
LeftC_Left,8,ZDP2,3,Front,Back
LeftC_Left,9,ZDP3,3,Front,Back
LeftC_Left,10,ZDP3,2,Back,Back
LeftC_Left,11,ZDP3,2,Back,Back
LeftC_Left,12,ZDP3,1,Back,Back
LeftC_Left,13,ZDP3,4,Front,Front
LeftC_Left,14,ZDP3,4,Front,Front
LeftC_Left,15,ZDP3,1,Back,Back
LeftC_Left,16,ZDP3,3,Front,Back
LeftC_Left,17,ZDP1,2,Back,Back
LeftC_Left,18,ZDP1,4,Front,Front
LeftC_Left,19,ZDP1,1,Back,Back
LeftC_Left,20,ZDP1,3,Front,Back
LeftC_Left,21,ZDP1,1,Back,Back
LeftC_Left,22,ZDP1,2,Back,Back
LeftC_Left,23,ZDP1,3,Front,Front
LeftC_Left,24,ZDP1,4,Front,Front
